대분류,구분,원료_에너지,단위,자원발자국(kg Sb eq),탄소발자국(kg CO2 eq),오존층영향(kg CFC11 eq),산성비(kg SO2 eq),부영양화(kg PO43- eq),광화학스모그(kg C2H4 eq),물소모계수(m3 H2O eq)
폐기물 처리,소각,지정폐기물 소각,kg,0.001152893,1.79936531,해당없음,0.000917084,0.000242084,해당없음,0.000374451
폐기물 처리,소각,폐고무 소각,kg,0.012946183,1.984290184,해당없음,0.006536736,0.001954403,0.001090258,0.001620955
폐기물 처리,소각,폐금속 소각,kg,0.004121747,0.512086769,해당없음,0.002131594,0.000652243,0.000361382,0.000483018
폐기물 처리,소각,폐목 소각,kg,0.005837876,0.715660621,해당없음,0.002963539,0.000907384,0.000521068,0.000683638
폐기물 처리,소각,폐유리 소각,kg,0.002871976,0.372729487,해당없음,0.001393088,0.000441939,0.000250076,0.000398777
폐기물 처리,소각,폐지 소각,kg,0.004119602,0.528768488,해당없음,0.002133341,0.000649713,0.000362478,0.000522049
폐기물 처리,소각,혼합폐플라스틱 소각,kg,0.005399176,3.412554039,해당없음,0.002742963,0.000839586,0.000479794,0.000662719
폐기물 처리,재활용,음식물류폐기물 재활용,kg,해당없음,0.011167109,해당없음,해당없음,해당없음,해당없음,해당없음
폐기물 처리,재활용,폐골판지 재활용,kg,0.000543306,0.104479559,해당없음,0.000541818,0.000330501,0.000170643,해당없음
폐기물 처리,재활용,폐목 재활용,kg,0.0000725,0.0136,해당없음,0.000305,0.000292,0.0000787,0.0000453
폐기물 처리,재활용,폐비철금속 재활용,kg,0.000128,0.0178,해당없음,0.000133,0.0000217,0.0000235,0.000401
폐기물 처리,재활용,폐유리 재활용,kg,0.0000838,0.00978,0.000000002,0.000339,0.0000139,0.0000173,0.0000207
폐기물 처리,재활용,폐지 재활용 ,kg,0.000309242,0.071486185,해당없음,0.000298195,0.000288133,0.000133239,해당없음
폐기물 처리,재활용,폐철금속 재활용,kg,0.0000256,0.0038,해당없음,0.0000256,0.00000468,0.00000554,0.0000539
폐기물 처리,재활용,폐콘크리트 재활용,kg,0.00011,0.0138,해당없음,0.000378,0.0000206,0.000025,0.00000224
폐기물 처리,재활용,혼합폐플라스틱 재활용,kg,0.000148,0.0186,해당없음,0.000118,0.000753,0.000031,0.0000762
폐기물 처리,기타,폐수 처리,m3,0.006123204,1.173743428,해당없음,0.002650722,0.000680449,0.000245715,0.002535099
폐기물 처리,기타,하수 처리,m3,0.001962229,1.872648541,해당없음,0.023814011,0.00417368,0.000709828,0.001351604
연료원별 사용,국내무연탄,제조업 및 건설,kg,해당없음,1.8800846,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,국내무연탄,에너지산업,kg,해당없음,1.87642178,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,국내무연탄,철도 수송,kg,해당없음,1.8710698,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,국내무연탄,해운 수송,kg,해당없음,1.8710698,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,국내무연탄,상업 / 공공,kg,해당없음,1.8800846,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,국내무연탄,가정,kg,해당없음,1.9981298,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,국내무연탄,농림어업-고정,kg,해당없음,1.9981298,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_연료용,제조업 및 건설,kg,해당없음,1.9898479,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_연료용,에너지산업,kg,해당없음,1.98596962,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_연료용,철도 수송,kg,해당없음,1.9898479,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_연료용,해운 수송,kg,해당없음,1.9898479,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_연료용,상업 / 공공,kg,해당없음,1.9898479,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_연료용,가정,kg,해당없음,2.1147937,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_연료용,농림어업-고정,kg,해당없음,2.1147937,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_원료용,제조업 및 건설,kg,해당없음,2.3956725,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_원료용,에너지산업,kg,해당없음,2.3910042,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_원료용,철도 수송,kg,해당없음,2.3956725,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_원료용,해운 수송,kg,해당없음,2.3956725,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_원료용,상업 / 공공,kg,해당없음,2.3956725,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_원료용,가정,kg,해당없음,2.5461165,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,수입무연탄_원료용,농림어업-고정,kg,해당없음,2.5461165,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,연료용 유연탄(역청탄),제조업 및 건설,kg,해당없음,2.2129975,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,연료용 유연탄(역청탄),에너지산업,kg,해당없음,2.2085182,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,연료용 유연탄(역청탄),철도 수송,kg,해당없음,2.2129975,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,연료용 유연탄(역청탄),해운 수송,kg,해당없음,2.2129975,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,연료용 유연탄(역청탄),상업 / 공공,kg,해당없음,2.2129975,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,연료용 유연탄(역청탄),가정,kg,해당없음,2.3573095,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,연료용 유연탄(역청탄),농림어업-고정,kg,해당없음,2.3573095,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,원료용 유연탄(역청탄),제조업 및 건설,kg,해당없음,2.6159052,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,원료용 유연탄(역청탄),에너지산업,kg,해당없음,2.61061131,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,원료용 유연탄(역청탄),철도 수송,kg,해당없음,2.6159052,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,원료용 유연탄(역청탄),해운 수송,kg,해당없음,2.6159052,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,원료용 유연탄(역청탄),상업 / 공공,kg,해당없음,2.6159052,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,원료용 유연탄(역청탄),가정,kg,해당없음,2.7864861,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,원료용 유연탄(역청탄),농림어업-고정,kg,해당없음,2.7864861,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,코크스,제조업 및 건설,kg,해당없음,3.051,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,코크스,에너지산업,kg,해당없음,3.04503899,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,코크스,철도 수송,kg,해당없음,3.0504992,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,코크스,해운 수송,kg,해당없음,3.0504992,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,코크스,상업 / 공공,kg,해당없음,3.0504992,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,코크스,농림어업-고정,kg,해당없음,3.2264393,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,석유코크스,제조업 및 건설,kg,해당없음,3.311,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,석유코크스,에너지산업,kg,해당없음,3.311,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),제조업 및 건설,kg,해당없음,1.864,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),에너지산업,kg,해당없음,1.864,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),철도 수송,kg,해당없음,1.8615304,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),해운 수송,kg,해당없음,1.8615304,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),상업 / 공공,kg,해당없음,1.8677737,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),가정,kg,해당없음,1.8677737,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),농림어업-고정,kg,해당없음,1.8677737,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LPG(액화석유가스),농림어업-이동,kg,해당없음,1.8641218,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LNG(천연가스),제조업 및 건설,m3,해당없음,2.1730228,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LNG(천연가스),에너지산업,m3,해당없음,2.1730228,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LNG(천연가스),육상 수송,m3,해당없음,2.207177,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LNG(천연가스),상업 / 공공,m3,해당없음,2.1762904,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LNG(천연가스),가정,m3,해당없음,2.1762904,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LNG(천연가스),농림어업-고정,m3,해당없음,2.1762904,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,LNG(천연가스),농림어업-이동,m3,해당없음,2.1762904,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,나프타,제조업 및 건설,L,해당없음,2.178,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,나프타,에너지산업,L,해당없음,2.178,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,항공유,항공 수송,L,해당없음,2.4220273,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,제조업 및 건설,L,해당없음,2.442,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,에너지산업,L,해당없음,2.442,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,철도 수송,L,해당없음,2.434,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,해운 수송,L,해당없음,2.434,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,상업 / 공공,L,해당없음,2.4475453,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,가정,L,해당없음,2.4475453,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,농림어업-고정,L,해당없음,2.4475453,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,등유,농림어업-이동,L,해당없음,2.4433432,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,제조업 및 건설,L,해당없음,2.09256939,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,에너지산업,L,해당없음,2.09256939,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,육상 수송,L,해당없음,2.085,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,철도 수송,L,해당없음,2.085,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,해운 수송,L,해당없음,2.091384,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,상업 / 공공,L,해당없음,2.0970384,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,가정,L,해당없음,2.0970384,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,농림어업-고정,L,해당없음,2.0933025,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,휘발유,농림어업-이동,L,해당없음,2.09256939,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,제조업 및 건설,L,해당없음,2.5907679,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,에너지산업,L,해당없음,2.5907679,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,육상 수송,L,해당없음,2.582,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,철도 수송,L,해당없음,2.582,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,해운 수송,L,해당없음,2.5893941,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,상업 / 공공,L,해당없음,2.5959444,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,가정,L,해당없음,2.5959444,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,농림어업-고정,L,해당없음,2.5916184,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,경유,농림어업-이동,L,해당없음,2.5907679,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,제조업 및 건설,L,해당없음,2.7960584,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,에너지산업,L,해당없음,2.7960584,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,철도 수송,L,해당없음,2.787,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,해운 수송,L,해당없음,2.787,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,상업 / 공공,L,해당없음,2.8014071,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,가정,L,해당없음,2.8014071,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,농림어업-고정,L,해당없음,2.8014071,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-A유,농림어업-이동,L,해당없음,2.7969383,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,제조업 및 건설,L,해당없음,2.9214651,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,에너지산업,L,해당없음,2.9214651,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,철도 수송,L,해당없음,2.912,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,해운 수송,L,해당없음,2.912,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,상업 / 공공,L,해당없음,2.9270553,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,가정,L,해당없음,2.9270553,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,농림어업-고정,L,해당없음,2.9270553,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-B유,농림어업-이동,L,해당없음,2.9223849,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,제조업 및 건설,L,해당없음,3.011,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,에너지산업,L,해당없음,3.011,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,철도 수송,L,해당없음,3.0092881,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,해운 수송,L,해당없음,3.0092881,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,상업 / 공공,L,해당없음,3.017518,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,가정,L,해당없음,3.017518,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,농림어업-고정,L,해당없음,3.017518,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,B-C유,농림어업-이동,L,해당없음,3.0127027,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,아스팔트,제조업 및 건설,kg,해당없음,3.13,해당없음,해당없음,해당없음,해당없음,해당없음
연료원별 사용,윤활유,제조업 및 건설,L,해당없음,2.708,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,포틀랜트 시멘트,clinker 생산량 기준, kg clinker,해당없음,0.5172,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,포틀랜트 시멘트,cement 생산량 기준, kg clinker,해당없음,0.4985,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,생석회 생산,high calcium lime,kg calcium lime,해당없음,0.785,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,생석회 생산,dolomitic lime, kg dolomitic lime,해당없음,0.913,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,석회석 및 백운석 사용,lime stone,kg CaCO3,해당없음,0.44,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,석회석 및 백운석 사용,dolomite,kg MgCO3,해당없음,0.447,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,소다회 생산 및 사용,soda ash 생산,kg trona,해당없음,0.097,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,소다회 생산 및 사용,soda ash 사용,kg soda ash,해당없음,0.415,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,암모니아 생산,ammonia,kg C,해당없음,3.67,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,아디픽산 생산,adipic acid,kg adipic acid,해당없음,9.3,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,탄화물 생산 및 사용,silicon carbide 생산,kg cokes,해당없음,2.3,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,탄화물 생산 및 사용,silicon carbide 생산,kg petrol cokes,해당없음,0.2142,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,탄화물 생산 및 사용,silicon carbide 생산,kg carbide,해당없음,0.2436,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,탄화물 생산 및 사용,calcium carbide 생산,kg CaC2,해당없음,1.8,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,탄화물 생산 및 사용,calcium carbide 사용,kg CaC2,해당없음,11,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,기타 화학물질 생산,carbon black,kg carbon black,해당없음,0.231,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,기타 화학물질 생산,ethylene, kg ethylene,해당없음,0.021,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,기타 화학물질 생산,dichloroethylene,kg dichloroethylene,해당없음,0.0084,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,기타 화학물질 생산,styrene,kg styrene,해당없음,0.084,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,기타 화학물질 생산,methanol,kg methanol,해당없음,0.042,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,기타 화학물질 생산,Coke,kg Coke,해당없음,0.0105,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,정유공정,Catalytic Cracking Regeneration,kg C- 각 공정별 계산,해당없음,3.67,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,정유공정,Refinery Hydrogen Plant,kg C- 각 공정별 계산,해당없음,3.67,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,정유공정,Catalyst Regeneration,kg C- 각 공정별 계산,해당없음,3.67,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,선철 생산,Simple method,kg iron,해당없음,1.6,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,선철 생산,Coal,kg 환원제,해당없음,2.5,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,선철 생산,Coke from Coal,kg 환원제,해당없음,3.1,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,선철 생산,Petrol Coke,kg 환원제,해당없음,3.6,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,선철 생산,Prebaked anodes and coal,kg 환원제,해당없음,3.6,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,강철 생산,Simple method,kg steel,해당없음,1.6,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,강철 생산,최종생성물에 몰입된 탄소량 고려, kg EAF steel,해당없음,0.005,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,합금철 생산,Ferrosilicon-50%Si,kg alloy iron,해당없음,2.7,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,합금철 생산,Ferrosilicon-75%Si,kg alloy iron,해당없음,3.9,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,합금철 생산,Ferrosilicon-90%Si,kg alloy iron,해당없음,6.5,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,합금철 생산,Silicon metal,kg alloy iron,해당없음,4.3,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,합금철 생산,Ferromanganese,kg alloy iron,해당없음,1.6,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,합금철 생산,Silicon Manganese,kg alloy iron,해당없음,1.7,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,합금철 생산,Ferrochromium,kg alloy iron,해당없음,1.3,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,알루미늄 생산,Soderberg Process,kg Al,해당없음,1.8,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,알루미늄 생산,Prebaked Anode Process,kg Al,해당없음,1.5,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,펄프 및 제지 산업,CaCO3 사용량 기준,kg CaCO3,해당없음,0.44,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,펄프 및 제지 산업,Na2CO3 사용량 기준,kg Na2CO3,해당없음,0.415,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,"HFCs, PFCs, SF6 생산","HCFCs,PFCs 생산시 부산물 배출", kg HCFC22,해당없음,468,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,"HFCs, PFCs, SF6 생산",SF6 생산,kg SF6,해당없음,47.8,해당없음,해당없음,해당없음,해당없음,해당없음
화학반응공정,질산,nitric acid 생산,kg HNO2-일본 guide line,해당없음,1.2152,해당없음,해당없음,해당없음,해당없음,해당없음
